,date,variable,value
489,2020-06-22,Martial,28
490,2020-06-23,Martial,25
491,2020-06-24,Martial,100
492,2020-06-25,Martial,52
493,2020-06-26,Martial,17
494,2020-06-27,Martial,29
495,2020-06-28,Martial,20
496,2020-06-29,Martial,23
497,2020-06-30,Martial,29
498,2020-07-01,Martial,19
499,2020-07-02,Martial,25
500,2020-07-03,Martial,29
501,2020-07-04,Martial,60
502,2020-07-05,Martial,31
503,2020-07-06,Martial,22
504,2020-07-07,Martial,20
505,2020-07-08,Martial,20
506,2020-07-09,Martial,28
507,2020-07-10,Martial,29
508,2020-07-11,Martial,26
509,2020-07-12,Martial,31
510,2020-07-13,Martial,49
511,2020-07-14,Martial,38
512,2020-07-15,Martial,32
513,2020-07-16,Martial,40
514,2020-07-17,Martial,38
515,2020-07-18,Martial,22
516,2020-07-19,Martial,38
517,2020-07-20,Martial,26
518,2020-07-21,Martial,33
519,2020-07-22,Martial,32
520,2020-07-23,Martial,26
521,2020-07-24,Martial,19
522,2020-07-25,Martial,29
523,2020-07-26,Martial,31
524,2020-07-27,Martial,32
525,2020-07-28,Martial,30
526,2020-07-29,Martial,24
527,2020-07-30,Martial,25
528,2020-07-31,Martial,25
529,2020-08-01,Martial,25
530,2020-08-02,Martial,23
531,2020-08-03,Martial,23
532,2020-08-04,Martial,25
533,2020-08-05,Martial,31
534,2020-08-06,Martial,29
535,2020-08-07,Martial,96
536,2020-08-08,Martial,38
537,2020-08-09,Martial,29
538,2020-08-10,Martial,39
539,2020-08-11,Martial,32
540,2020-08-12,Martial,23
541,2020-08-13,Martial,21
542,2020-08-14,Martial,30
543,2020-08-15,Martial,25
544,2020-08-16,Martial,41
545,2020-08-17,Martial,33
546,2020-05-19,Mathematic,100
547,2020-05-20,Mathematic,0
548,2020-05-21,Mathematic,0
549,2020-05-22,Mathematic,0
550,2020-05-23,Mathematic,0
551,2020-05-24,Mathematic,0
552,2020-05-25,Mathematic,0
553,2020-05-26,Mathematic,0
554,2020-05-27,Mathematic,0
555,2020-05-28,Mathematic,0
556,2020-05-29,Mathematic,0
557,2020-05-30,Mathematic,39
558,2020-05-31,Mathematic,0
559,2020-06-01,Mathematic,0
560,2020-06-02,Mathematic,0
561,2020-06-03,Mathematic,59
562,2020-06-04,Mathematic,0
563,2020-06-05,Mathematic,63
564,2020-06-06,Mathematic,0
565,2020-06-07,Mathematic,72
566,2020-06-08,Mathematic,31
567,2020-06-09,Mathematic,0
568,2020-06-10,Mathematic,32
569,2020-06-11,Mathematic,0
570,2020-06-12,Mathematic,33
