,date,variable,value
758,2020-05-27,Footstep,44
759,2020-05-28,Footstep,45
760,2020-05-29,Footstep,47
761,2020-05-30,Footstep,100
762,2020-05-31,Footstep,0
763,2020-06-01,Footstep,0
764,2020-06-02,Footstep,43
765,2020-06-03,Footstep,0
766,2020-06-04,Footstep,80
767,2020-06-05,Footstep,41
768,2020-06-06,Footstep,46
769,2020-06-07,Footstep,0
770,2020-06-08,Footstep,0
771,2020-06-09,Footstep,41
772,2020-06-10,Footstep,41
773,2020-06-11,Footstep,41
774,2020-06-12,Footstep,43
775,2020-06-13,Footstep,49
776,2020-06-14,Footstep,0
777,2020-06-15,Footstep,0
778,2020-06-16,Footstep,69
779,2020-06-17,Footstep,0
780,2020-06-18,Footstep,41
781,2020-06-19,Footstep,42
782,2020-06-20,Footstep,49
783,2020-06-21,Footstep,0
784,2020-06-22,Footstep,0
785,2020-06-23,Footstep,44
786,2020-06-24,Footstep,46
787,2020-06-25,Footstep,0
788,2020-06-26,Footstep,0
789,2020-06-27,Footstep,45
790,2020-06-28,Footstep,44
791,2020-06-29,Footstep,43
792,2020-06-30,Footstep,0
793,2020-07-01,Footstep,43
794,2020-07-02,Footstep,0
795,2020-07-03,Footstep,0
796,2020-07-04,Footstep,48
797,2020-07-05,Footstep,0
798,2020-07-06,Footstep,0
799,2020-07-07,Footstep,0
800,2020-07-08,Footstep,0
801,2020-04-11,Bark,100
802,2020-04-12,Bark,78
803,2020-04-13,Bark,87
804,2020-04-14,Bark,80
805,2020-04-15,Bark,76
806,2020-04-16,Bark,77
807,2020-04-17,Bark,67
808,2020-04-18,Bark,56
809,2020-04-19,Bark,83
810,2020-04-20,Bark,67
811,2020-04-21,Bark,73
812,2020-04-22,Bark,59
813,2020-04-23,Bark,72
814,2020-04-24,Bark,72
815,2020-04-25,Bark,91
816,2020-04-26,Bark,82
817,2020-04-27,Bark,81
818,2020-04-28,Bark,53
819,2020-04-29,Bark,54
820,2020-04-30,Bark,60
821,2020-05-01,Bark,55
822,2020-05-02,Bark,71
823,2020-05-03,Bark,88
824,2020-05-04,Bark,69
825,2020-05-05,Bark,57
826,2020-05-06,Bark,73
827,2020-05-07,Bark,68
828,2020-05-08,Bark,68
829,2020-05-09,Bark,85
830,2020-05-10,Bark,67
831,2020-05-11,Bark,66
832,2020-05-12,Bark,59
833,2020-05-13,Bark,68
834,2020-05-14,Bark,66
835,2020-05-15,Bark,65
836,2020-05-16,Bark,92
837,2020-05-17,Bark,96
838,2020-05-18,Bark,62
839,2020-05-19,Bark,77
840,2020-05-20,Bark,72
841,2020-05-21,Bark,71
842,2020-05-22,Bark,69
843,2020-05-23,Bark,80
844,2020-05-24,Bark,71
845,2020-05-25,Bark,88
846,2020-05-26,Bark,79
847,2020-05-27,Bark,73
848,2020-05-28,Bark,83
849,2020-05-29,Bark,67
850,2020-05-30,Bark,89
851,2020-05-31,Bark,88
852,2020-06-01,Bark,72
853,2020-06-02,Bark,72
854,2020-06-03,Bark,56
855,2020-06-04,Bark,56
856,2020-06-05,Bark,51
857,2020-06-06,Bark,57
858,2020-06-07,Bark,64
859,2020-06-08,Bark,61
860,2020-06-09,Bark,65
861,2020-06-10,Bark,57
862,2020-06-11,Bark,56
863,2020-06-12,Bark,51
864,2020-06-13,Bark,54
865,2020-06-14,Bark,72
866,2020-06-15,Bark,55
867,2020-06-16,Bark,58
868,2020-06-17,Bark,58
869,2020-06-18,Bark,47
870,2020-06-19,Bark,47
871,2020-06-20,Bark,63
872,2020-06-21,Bark,62
873,2020-06-22,Bark,61
874,2020-06-23,Bark,61
875,2020-06-24,Bark,55
876,2020-06-25,Bark,55
877,2020-06-26,Bark,52
878,2020-06-27,Bark,46
879,2020-06-28,Bark,58
880,2020-06-29,Bark,54
881,2020-06-30,Bark,50
882,2020-07-01,Bark,44
883,2020-07-02,Bark,56
884,2020-07-03,Bark,44
885,2020-07-04,Bark,49
886,2020-07-05,Bark,52
887,2020-07-06,Bark,46
888,2020-07-07,Bark,51
889,2020-07-08,Bark,52
890,2020-04-11,Animal,93
891,2020-04-12,Animal,99
892,2020-04-13,Animal,94
893,2020-04-14,Animal,85
894,2020-04-15,Animal,84
895,2020-04-16,Animal,82
896,2020-04-17,Animal,85
897,2020-04-18,Animal,93
898,2020-04-19,Animal,89
899,2020-04-20,Animal,82
900,2020-04-21,Animal,83
901,2020-04-22,Animal,83
902,2020-04-23,Animal,87
903,2020-04-24,Animal,90
904,2020-04-25,Animal,96
905,2020-04-26,Animal,100
906,2020-04-27,Animal,85
